enabled	message_id	source	refs	mask_pgm	source_note	ko_text	font_size	line_height	pad	ink_max	threshold	bright_threshold	bold
0	1001	script-scan+manual	310:15:0xab7	F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1001.pgm		아프다...	12	15	2	2	32	96	0
0	1002	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1002.pgm		뭐하는거야!!!	12	15	2	2	32	96	0
0	1003	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1003.pgm		아... 미안...	12	15	2	2	32	96	0
0	1004	script-scan+manual	310:11:0xa27	F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1004.pgm		앗!?	12	15	2	2	32	96	0
0	1005	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1005.pgm		이야앗! 치한!!\n변태다!!	12	15	2	2	32	96	0
0	1006	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1006.pgm		갑자기... 이런...	12	15	2	2	32	96	0
0	1007	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1007.pgm		뭐야? 아직 어린애잖아.	12	15	2	2	32	96	0
0	1008	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1008.pgm		내가 너무 심했나?	12	15	2	2	32	96	0
0	1009	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1009.pgm		이 아이가 쓰는 건가...?	12	15	2	2	32	96	0
0	1010	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1010.pgm		죄송해요 마스터. 초면인데,\n느닷없이 폐를 끼쳐서...	12	15	2	2	32	96	0
0	1011	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1011.pgm		뭐, 귀여운 꼬마숙녀의\n부탁이라면 거절할 수 없지.	12	15	2	2	32	96	0
0	1012	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1012.pgm		그럼, 잠깐만 부탁해요.	12	15	2	2	32	96	0
0	1013	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1013.pgm		아! 아! 그런데 이곳에는\n무슨 일로?	12	15	2	2	32	96	0
0	1014	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1014.pgm		새로운 일을 찾아서요!	12	15	2	2	32	96	0
0	1015	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1015.pgm		그래? 모험가군.	12	15	2	2	32	96	0
0	1016	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1016.pgm		우선은, 모험가 길드로\n가서 등록해야 해.	12	15	2	2	32	96	0
0	1017	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1017.pgm		가고 싶은곳을 선택하면,\n마을 안을 이동할수 있어.	12	15	2	2	32	96	0
0	1018	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1018.pgm		바향키의 좌우 또는 L1,\nR1 버튼으로 선택해서\nO버튼으로 결정하면돼.	12	15	2	2	32	96	0
0	1019	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1019.pgm		응? 벌써 일이 정해진 거야?	12	15	2	2	32	96	0
0	1020	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1020.pgm		너 같은 꼬마 숙녀가?\n돌아가렴.	12	15	2	2	32	96	0
0	1021	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1021.pgm		왜, 나 같은 사람은 오면\n안되나요?	12	15	2	2	32	96	0
0	1022	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1022.pgm		당연하지. 어린 소녀 혼자서\n뭘 할 수 있다고 하는 거야? 응?	12	15	2	2	32	96	0
0	1023	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1023.pgm		무례하군요! 이래뵈도\n8년의 경력이 있어요?	12	15	2	2	32	96	0
0	1024	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1024.pgm		못 알아 듣겠어? 네가 아무리 굉장한 \n솜씨라고 해도, 마법사 한명으로는	12	15	2	2	32	96	0
0	1025	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1025.pgm		실전에 도움이 안될꺼라고.	12	15	2	2	32	96	0
0	1026	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1026.pgm		으... 그건...	12	15	2	2	32	96	0
0	1027	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1027.pgm		마법사는, 방패가 되어 싸울 전사가\n있어야 비로서 그 힘을 발휘 할 수\n있는거야.	12	15	2	2	32	96	0
0	1028	manual-validated		F:/workspace-server/create-retro-game-kr-patch-main/tmp/SLPS-01903/dialogue-workflow/masks/message-mask-1028.pgm		너 하나쯤이야,\n주문을 외우는 사이 한칼에 쓱~	12	15	2	2	32	96	0
